Label,items
NORMAL,"['r1-core', 'system', 'router', 'rebooted', 'console', 'admin', 'ttys0', 'shutdown']"
NORMAL,"['r1-core', 'interface', 'link']"
NORMAL,"['r1-core', 'route', 'ospf', 'instance', 'version', 'router-id', 'created']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area', 'created']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'loopback', 'created']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'loopback', 'state', 'change', 'waiting']"
NORMAL,"['r1-core', 'interface', 'ether2', 'link', 'speed', 'full', 'duplex']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'created']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'state', 'change', 'waiting']"
NORMAL,"['r1-core', 'interface', 'ether3', 'link', 'speed', 'full', 'duplex']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether3', 'created']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether3', 'state', 'change', 'waiting']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'router-id', 'state', 'down', 'state', 'change', 'init']"
NORMAL,"['r1-core', 'interface', 'ether1', 'link', 'down']"
NORMAL,"['r1-core', 'interface', 'ether1', 'link', 'speed', 'full', 'duplex']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether3', 'neighbor', 'router-id', 'state', 'down', 'state', 'change', 'init']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'router-id', 'state', 'init', 'state', 'change', 'twoway']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether3', 'neighbor', 'router-id', 'state', 'init', 'state', 'change', 'twoway']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'loopback', 'neighbor', 'election']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'loopback', 'state', 'change']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'loopback', 'change']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'election']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'state', 'change', 'other']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'change', 'bdr']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'router-id', 'state', 'twoway', 'state', 'change', 'exstart']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether3', 'neighbor', 'election']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether3', 'state', 'change', 'backup']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether3', 'change', 'bdr']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether3', 'neighbor', 'router-id', 'state', 'twoway', 'state', 'change', 'exstart']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'router-id', 'state', 'exstart', 'negotiation', 'done']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'router-id', 'state', 'exstart', 'state', 'change', 'exchange']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'router-id', 'state', 'exchange', 'exchange', 'lsdb', 'size']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'election']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'state', 'change', 'backup']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'change', 'bdr']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'router-id', 'state', 'exchange', 'exchange', 'done']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'router-id', 'state', 'exchange', 'state', 'change', 'loading']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'router-id', 'state', 'loading', 'loading', 'done']"
NORMAL,"['r1-core', 'route', 'ospf', 'ospf-1', 'version', 'router-id', 'area-0', 'interface', 'broadcast', 'ether2', 'neighbor', 'router-id', 'state', 'loading', 'state', 'change', 'full']"
