fetched_at,source_router,log_id,time,topics,message,Label
2026-04-13 21:19:15,R-Edge,*AB1,2026-04-13 14:19:05,"system,info","log action changed by console:admin@ttyS0/action:20 (/system logging action set """")",NORMAL
2026-04-13 21:19:15,R-Edge,*AB2,2026-04-13 14:19:05,"system,info","log action changed by console:admin@ttyS0/action:21 (/system logging action set """")",NORMAL
2026-04-13 21:19:15,R-Edge,*AB3,2026-04-13 14:19:11,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello,NORMAL
2026-04-13 21:19:15,R-Dist-1,*11343,2026-04-13 21:19:00,"system,info","log action changed by console:admin@ttyS0/action:16 (/system logging action set """")",NORMAL
2026-04-13 21:19:15,R-Dist-1,*11344,2026-04-13 21:19:00,"system,info","log action changed by console:admin@ttyS0/action:17 (/system logging action set """")",NORMAL
2026-04-13 21:19:15,R-Dist-1,*11345,2026-04-13 21:19:01,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } neighbor { router-id: 10.255.255.2 state: Full } hello,NORMAL
2026-04-13 21:19:15,R-Dist-1,*11346,2026-04-13 21:19:02,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } send hello,NORMAL
2026-04-13 21:19:15,R-Dist-1,*11347,2026-04-13 21:19:05,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello,NORMAL
2026-04-13 21:19:15,R-Dist-1,*11348,2026-04-13 21:19:05,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.10.1%ether4 } send hello,NORMAL
2026-04-13 21:19:15,R-Dist-1,*11349,2026-04-13 21:19:06,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } send hello,NORMAL
2026-04-13 21:19:15,R-Dist-1,*1134A,2026-04-13 21:19:08,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.1%loopback } send hello,NORMAL
