fetched_at,source_router,log_id,time,topics,message
2026-04-13 21:04:48,R-Edge,*85D,2026-04-13 14:04:40,"system,info","log action changed by console:admin@ttyS0/action:16 (/system logging action set """")"
2026-04-13 21:04:48,R-Edge,*85E,2026-04-13 14:04:40,"system,info","log action changed by console:admin@ttyS0/action:17 (/system logging action set """")"
2026-04-13 21:04:48,R-Edge,*85F,2026-04-13 14:04:41,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 21:04:48,R-Edge,*860,2026-04-13 14:04:44,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 21:04:48,R-Edge,*861,2026-04-13 14:04:44,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 21:04:48,R-Dist-1,*D89,2026-04-13 21:04:34,"system,info","log action changed by console:admin@ttyS0/action:12 (/system logging action set """")"
2026-04-13 21:04:48,R-Dist-1,*D8A,2026-04-13 21:04:34,"system,info","log action changed by console:admin@ttyS0/action:13 (/system logging action set """")"
2026-04-13 21:04:48,R-Dist-1,*D8B,2026-04-13 21:04:38,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.10.1%ether4 } send hello
2026-04-13 21:04:48,R-Dist-1,*D8C,2026-04-13 21:04:38,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.1%loopback } send hello
2026-04-13 21:04:48,R-Dist-1,*D8D,2026-04-13 21:04:41,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } neighbor { router-id: 10.255.255.2 state: Full } hello
2026-04-13 21:04:48,R-Dist-1,*D8E,2026-04-13 21:04:43,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } send hello
2026-04-13 21:04:48,R-Dist-1,*D8F,2026-04-13 21:04:44,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } send hello
2026-04-13 21:04:48,R-Dist-1,*D90,2026-04-13 21:04:44,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 21:04:48,R-Dist-2,*140F,2026-04-13 21:04:35,"system,info","log action changed by console:admin@ttyS0/action:12 (/system logging action set """")"
2026-04-13 21:04:48,R-Dist-2,*1410,2026-04-13 21:04:35,"system,info","log action changed by console:admin@ttyS0/action:13 (/system logging action set """")"
2026-04-13 21:04:48,R-Dist-2,*1411,2026-04-13 21:04:37,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.12.2%ether4 } send hello
2026-04-13 21:04:48,R-Dist-2,*1412,2026-04-13 21:04:37,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.16.1%ether3 } neighbor { router-id: 10.255.255.3 state: Full } hello
2026-04-13 21:04:48,R-Dist-2,*1413,2026-04-13 21:04:38,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.12.2%ether4 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 21:04:48,R-Dist-2,*1414,2026-04-13 21:04:38,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.13.2%ether5 } send hello
2026-04-13 21:04:48,R-Dist-2,*1415,2026-04-13 21:04:39,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.2%loopback } send hello
2026-04-13 21:04:48,R-Dist-2,*1416,2026-04-13 21:04:40,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.2%ether2 } send hello
2026-04-13 21:04:48,R-Dist-2,*1417,2026-04-13 21:04:40,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.13.2%ether5 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 21:04:48,R-Dist-2,*1418,2026-04-13 21:04:43,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.2%ether2 } neighbor { router-id: 10.255.255.1 state: Full } hello
2026-04-13 21:04:48,R-Dist-2,*1419,2026-04-13 21:04:43,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.16.1%ether3 } send hello
2026-04-13 21:04:48,R-Dist-2,*141A,2026-04-13 21:04:47,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.12.2%ether4 } send hello
2026-04-13 21:04:48,R-Dist-2,*141B,2026-04-13 21:04:47,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.16.1%ether3 } neighbor { router-id: 10.255.255.3 state: Full } hello
2026-04-13 21:04:49,R-Dist-3,*D6E,2026-04-13 21:04:37,"system,info","log action changed by console:admin@ttyS0/action:12 (/system logging action set """")"
2026-04-13 21:04:49,R-Dist-3,*D6F,2026-04-13 21:04:37,"system,info","log action changed by console:admin@ttyS0/action:13 (/system logging action set """")"
2026-04-13 21:04:49,R-Dist-3,*D70,2026-04-13 21:04:42,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.3 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.14.2%ether2 } send hello
2026-04-13 21:04:49,R-Dist-3,*D71,2026-04-13 21:04:42,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.3 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.14.2%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 21:04:49,R-Dist-3,*D72,2026-04-13 21:04:43,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.3 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.16.2%ether3 } neighbor { router-id: 10.255.255.2 state: Full } hello
2026-04-13 21:04:49,R-Dist-3,*D73,2026-04-13 21:04:44,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.3 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.3%loopback } send hello
2026-04-13 21:04:49,R-Dist-3,*D74,2026-04-13 21:04:47,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.3 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.16.2%ether3 } send hello
2026-04-13 21:04:49,R-Dist-3,*D75,2026-04-13 21:04:47,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.3 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.30.1%ether4 } send hello
2026-04-13 21:04:49,R-Core-1,*16BA,2026-04-13 21:04:30,"system,info","log action changed by console:admin@ttyS0/action:12 (/system logging action set """")"
2026-04-13 21:04:49,R-Core-1,*16BB,2026-04-13 21:04:30,"system,info","log action changed by console:admin@ttyS0/action:13 (/system logging action set """")"
2026-04-13 21:04:49,R-Core-1,*16BC,2026-04-13 21:04:30,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.11 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.2%ether1 } send hello
2026-04-13 21:04:49,R-Core-1,*16BD,2026-04-13 21:04:32,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.11 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.1%ether3 } neighbor { router-id: 10.255.255.1 state: Full } hello
2026-04-13 21:04:49,R-Core-1,*16BE,2026-04-13 21:04:33,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.11 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } send hello
2026-04-13 21:04:49,R-Core-1,*16BF,2026-04-13 21:04:33,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.11 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.1%ether3 } send hello
2026-04-13 21:04:49,R-Core-1,*16C0,2026-04-13 21:04:34,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.11 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.2%ether1 } neighbor { router-id: 192.168.100.1 state: Full } hello
2026-04-13 21:04:49,R-Core-1,*16C1,2026-04-13 21:04:34,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.11 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.2%ether1 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 21:04:49,R-Core-1,*16C2,2026-04-13 21:04:35,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.11 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.11%loopback } send hello
2026-04-13 21:04:49,R-Core-1,*16C3,2026-04-13 21:04:37,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.11 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.12.1%ether4 } neighbor { router-id: 10.255.255.2 state: Full } hello
2026-04-13 21:04:49,R-Core-1,*16C4,2026-04-13 21:04:37,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.11 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
