fetched_at,source_router,log_id,time,topics,message
2026-04-13 21:11:33,R-Edge,*8E6,2026-04-13 14:11:10,"system,info","log action changed by console:admin@ttyS0/action:18 (/system logging action set """")"
2026-04-13 21:11:33,R-Edge,*8E7,2026-04-13 14:11:10,"system,info","log action changed by console:admin@ttyS0/action:19 (/system logging action set """")"
2026-04-13 21:11:33,R-Edge,*8E8,2026-04-13 14:11:11,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 21:11:33,R-Edge,*8E9,2026-04-13 14:11:15,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 21:11:33,R-Edge,*8EA,2026-04-13 14:11:15,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 21:11:33,R-Edge,*8EB,2026-04-13 14:11:21,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 21:11:33,R-Edge,*8EC,2026-04-13 14:11:25,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 21:11:33,R-Edge,*8ED,2026-04-13 14:11:25,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 21:11:33,R-Edge,*8EE,2026-04-13 14:11:31,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 21:11:33,R-Dist-1,*E7F,2026-04-13 21:11:16,"system,info","log action changed by console:admin@ttyS0/action:14 (/system logging action set """")"
2026-04-13 21:11:33,R-Dist-1,*E80,2026-04-13 21:11:16,"system,info","log action changed by console:admin@ttyS0/action:15 (/system logging action set """")"
2026-04-13 21:11:33,R-Dist-1,*E81,2026-04-13 21:11:18,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.10.1%ether4 } send hello
2026-04-13 21:11:33,R-Dist-1,*E82,2026-04-13 21:11:18,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.1%loopback } send hello
2026-04-13 21:11:33,R-Dist-1,*E83,2026-04-13 21:11:21,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } neighbor { router-id: 10.255.255.2 state: Full } hello
2026-04-13 21:11:33,R-Dist-1,*E84,2026-04-13 21:11:23,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } send hello
2026-04-13 21:11:33,R-Dist-1,*E85,2026-04-13 21:11:24,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } send hello
2026-04-13 21:11:33,R-Dist-1,*E86,2026-04-13 21:11:24,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 21:11:33,R-Dist-1,*E87,2026-04-13 21:11:28,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.10.1%ether4 } send hello
2026-04-13 21:11:33,R-Dist-1,*E88,2026-04-13 21:11:28,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.1%loopback } send hello
2026-04-13 21:11:33,R-Dist-1,*E89,2026-04-13 21:11:31,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } neighbor { router-id: 10.255.255.2 state: Full } hello
2026-04-13 21:11:33,R-Dist-2,*157F,2026-04-13 21:11:17,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.2 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.16.1%ether3 } neighbor { router-id: 10.255.255.3 state: Full } hello
