fetched_at,source_router,log_id,time,topics,message
2026-04-13 19:28:37,R-Edge,*2A2,2026-04-13 12:28:12,"system,info","log action changed by console:admin@ttyS0/action:40 (/system logging action set """")"
2026-04-13 19:28:37,R-Edge,*2A3,2026-04-13 12:28:12,"system,info","log action changed by console:admin@ttyS0/action:41 (/system logging action set """")"
2026-04-13 19:28:37,R-Edge,*2A4,2026-04-13 12:28:22,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 19:28:37,R-Edge,*2A5,2026-04-13 12:28:22,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 19:28:37,R-Edge,*2A6,2026-04-13 12:28:22,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 19:28:37,R-Edge,*2A7,2026-04-13 12:28:32,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 19:28:37,R-Edge,*2A8,2026-04-13 12:28:32,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 19:28:37,R-Edge,*2A9,2026-04-13 12:28:32,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 19:28:37,R-Edge,*2AA,2026-04-13 12:28:37,"system,info,account",user admin logged in from 192.168.153.152 via rest-api
2026-04-13 19:28:37,R-Edge,*2AB,2026-04-13 12:28:37,"system,info,account",user admin logged in via api
2026-04-13 19:28:38,R-Dist-1,*3D2,2026-04-13 19:28:20,"system,info","log action changed by console:admin@ttyS0/action:4 (/system logging action set """")"
2026-04-13 19:28:38,R-Dist-1,*3D3,2026-04-13 19:28:20,"system,info","log action changed by console:admin@ttyS0/action:5 (/system logging action set """")"
2026-04-13 19:28:38,R-Dist-1,*3D4,2026-04-13 19:28:21,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.1%loopback } send hello
2026-04-13 19:28:38,R-Dist-1,*3D5,2026-04-13 19:28:22,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } send hello
2026-04-13 19:28:38,R-Dist-1,*3D6,2026-04-13 19:28:25,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
