fetched_at,source_router,log_id,time,topics,message
2026-01-30 16:24:50,R1-Core,*0,2026-01-30 09:22:09,"system,info",router rebooted by console:admin@ttyS0/shutdown
2026-01-30 16:24:50,R1-Core,*1,2026-01-30 09:22:09,"interface,info",lo link up
2026-01-30 16:24:50,R1-Core,*2,2026-01-30 09:22:10,"route,ospf,info",instance { version: 2 router-id: 1.1.1.1 } created
2026-01-30 16:24:50,R1-Core,*3,2026-01-30 09:22:10,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area { 0.0.0.0 } created
2026-01-30 16:24:50,R1-Core,*4,2026-01-30 09:22:11,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 1.1.1.1%loopback } created
2026-01-30 16:24:50,R1-Core,*5,2026-01-30 09:22:11,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 1.1.1.1%loopback } state change to Waiting
2026-01-30 16:24:50,R1-Core,*6,2026-01-30 09:22:13,"interface,info","ether1 link up (speed 1G, full duplex)"
2026-01-30 16:24:50,R1-Core,*7,2026-01-30 09:22:13,"system,info,account",user admin logged in via local
2026-01-30 16:24:50,R1-Core,*8,2026-01-30 09:22:14,"interface,info","ether2 link up (speed 1G, full duplex)"
2026-01-30 16:24:50,R1-Core,*9,2026-01-30 09:22:14,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } created
2026-01-30 16:24:50,R1-Core,*A,2026-01-30 09:22:14,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } state change to Waiting
2026-01-30 16:24:50,R1-Core,*B,2026-01-30 09:22:17,"interface,info","ether3 link up (speed 1G, full duplex)"
2026-01-30 16:24:50,R1-Core,*C,2026-01-30 09:22:17,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } created
2026-01-30 16:24:50,R1-Core,*D,2026-01-30 09:22:17,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } state change to Waiting
2026-01-30 16:24:50,R1-Core,*E,2026-01-30 09:22:24,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: Down } state change to Init
2026-01-30 16:24:50,R1-Core,*F,2026-01-30 09:22:24,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: Init } state change to TwoWay
2026-01-30 16:24:50,R1-Core,*10,2026-01-30 09:22:25,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: Down } state change to Init
2026-01-30 16:24:50,R1-Core,*11,2026-01-30 09:22:25,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: Init } state change to TwoWay
2026-01-30 16:24:50,R1-Core,*12,2026-01-30 09:22:51,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 1.1.1.1%loopback } neighbor election
2026-01-30 16:24:50,R1-Core,*13,2026-01-30 09:22:51,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 1.1.1.1%loopback } state change to DR
2026-01-30 16:24:50,R1-Core,*14,2026-01-30 09:22:51,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 1.1.1.1%loopback } change DR: me
2026-01-30 16:24:50,R1-Core,*15,2026-01-30 09:22:54,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor election
2026-01-30 16:24:50,R1-Core,*16,2026-01-30 09:22:54,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } state change to DR other
2026-01-30 16:24:50,R1-Core,*17,2026-01-30 09:22:54,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } change DR: 2.2.2.2 BDR: 2.2.2.2
2026-01-30 16:24:50,R1-Core,*18,2026-01-30 09:22:54,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: TwoWay } state change to ExStart
2026-01-30 16:24:50,R1-Core,*19,2026-01-30 09:22:54,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: ExStart } negotiation done
2026-01-30 16:24:50,R1-Core,*1A,2026-01-30 09:22:54,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: ExStart } state change to Exchange
2026-01-30 16:24:50,R1-Core,*1B,2026-01-30 09:22:54,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: Exchange } exchange lsdb size 1
2026-01-30 16:24:50,R1-Core,*1C,2026-01-30 09:22:54,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor election
2026-01-30 16:24:50,R1-Core,*1D,2026-01-30 09:22:54,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } state change to Backup DR
2026-01-30 16:24:50,R1-Core,*1E,2026-01-30 09:22:54,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } change BDR: me
2026-01-30 16:24:50,R1-Core,*1F,2026-01-30 09:22:55,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: Exchange } exchange done
2026-01-30 16:24:50,R1-Core,*20,2026-01-30 09:22:55,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: Exchange } state change to Loading
2026-01-30 16:24:50,R1-Core,*21,2026-01-30 09:22:55,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: Loading } loading done
2026-01-30 16:24:50,R1-Core,*22,2026-01-30 09:22:55,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: Loading } state change to Full
2026-01-30 16:24:50,R1-Core,*23,2026-01-30 09:22:57,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor election
2026-01-30 16:24:50,R1-Core,*24,2026-01-30 09:22:57,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } state change to Backup DR
2026-01-30 16:24:50,R1-Core,*25,2026-01-30 09:22:57,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } change DR: 3.3.3.3 BDR: me
2026-01-30 16:24:50,R1-Core,*26,2026-01-30 09:22:57,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: TwoWay } state change to ExStart
2026-01-30 16:24:50,R1-Core,*27,2026-01-30 09:23:00,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: ExStart } negotiation done
2026-01-30 16:24:50,R1-Core,*28,2026-01-30 09:23:00,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: ExStart } state change to Exchange
2026-01-30 16:24:50,R1-Core,*29,2026-01-30 09:23:00,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: Exchange } exchange lsdb size 3
2026-01-30 16:24:50,R1-Core,*2A,2026-01-30 09:23:00,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: Exchange } exchange done
2026-01-30 16:24:50,R1-Core,*2B,2026-01-30 09:23:00,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: Exchange } state change to Loading
2026-01-30 16:24:50,R1-Core,*2C,2026-01-30 09:23:00,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: Loading } loading done
2026-01-30 16:24:50,R1-Core,*2D,2026-01-30 09:23:00,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: Loading } state change to Full
2026-01-30 16:24:50,R1-Core,*2E,2026-01-30 09:24:16,"system,info","Netwatch config added by console:admin@ttyS0 (*1 = /tool netwatch add down-script="":log error \""UPSTREAM_MONITOR: Internet Connection Lost (Ping 8.8.8.8 RTO)\"""" host=8.8.8.8 interval=5s up-script="":log info \""UPSTREAM_MONITOR: Internet Connection Restored (Ping 8.8.8.8 OK)\"""")"
2026-01-30 16:24:50,R1-Core,*2F,2026-01-30 09:24:23,"system,info",filter rule added by console:admin@ttyS0 (*1 = /ip firewall filter add action=drop chain=output comment=SAKLAR_ISP_MATI disabled=yes dst-address=8.8.8.8 protocol=icmp)
2026-01-30 16:24:50,R1-Core,*30,2026-01-30 09:24:49,"system,info,account",user admin logged in from 192.168.153.130 via rest-api
2026-01-30 16:24:50,R1-Core,*31,2026-01-30 09:24:49,"system,info,account",user admin logged in via api
2026-01-30 16:24:51,R2-Dist,*0,2026-01-30 16:22:09,"system,info",router rebooted by console:admin@ttyS0/shutdown
