fetched_at,source_router,log_id,time,topics,message
2026-04-13 19:14:24,R-Edge,*70,2026-04-13 12:13:55,"system,info","log action changed by console:admin@ttyS0/action:26 (/system logging action set """")"
2026-04-13 19:14:24,R-Edge,*71,2026-04-13 12:13:56,"system,info","log action changed by console:admin@ttyS0/action:27 (/system logging action set """")"
2026-04-13 19:14:24,R-Edge,*72,2026-04-13 12:14:01,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 19:14:24,R-Edge,*73,2026-04-13 12:14:01,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 19:14:24,R-Edge,*74,2026-04-13 12:14:02,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 19:14:24,R-Edge,*75,2026-04-13 12:14:06,"route,bgp,debug,packet","Peer-ISP-1 {l_addr: 172.16.10.2, r_addr: 172.16.10.1} Recv KEEPALIVE message"
2026-04-13 19:14:24,R-Edge,*76,2026-04-13 12:14:06,"route,bgp,debug,packet","Peer-ISP-1 {l_addr: 172.16.10.2, r_addr: 172.16.10.1} Sent KEEPALIVE message"
2026-04-13 19:14:24,R-Edge,*77,2026-04-13 12:14:11,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 19:14:24,R-Edge,*78,2026-04-13 12:14:11,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 19:14:24,R-Edge,*79,2026-04-13 12:14:12,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 19:14:24,R-Edge,*7A,2026-04-13 12:14:21,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 19:14:24,R-Edge,*7B,2026-04-13 12:14:21,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 19:14:24,R-Edge,*7C,2026-04-13 12:14:22,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 19:14:25,R-Dist-1,*62,2026-04-13 19:14:04,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 19:14:25,R-Dist-1,*63,2026-04-13 19:14:04,"system,info","log action changed by console:admin@ttyS0/action:3 (/system logging action set """")"
2026-04-13 19:14:25,R-Dist-1,*64,2026-04-13 19:14:07,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.10.1%ether4 } send hello
2026-04-13 19:14:25,R-Dist-1,*65,2026-04-13 19:14:09,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } send hello
2026-04-13 19:14:25,R-Dist-1,*66,2026-04-13 19:14:09,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } neighbor { router-id: 10.255.255.2 state: Full } hello
2026-04-13 19:14:25,R-Dist-1,*67,2026-04-13 19:14:11,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.1%loopback } send hello
2026-04-13 19:14:25,R-Dist-1,*68,2026-04-13 19:14:11,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } send hello
2026-04-13 19:14:25,R-Dist-1,*69,2026-04-13 19:14:14,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 19:14:25,R-Dist-1,*6A,2026-04-13 19:14:17,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.10.1%ether4 } send hello
2026-04-13 19:14:25,R-Dist-1,*6B,2026-04-13 19:14:19,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } send hello
2026-04-13 19:14:25,R-Dist-1,*6C,2026-04-13 19:14:19,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } neighbor { router-id: 10.255.255.2 state: Full } hello
2026-04-13 19:14:25,R-Dist-1,*6D,2026-04-13 19:14:21,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.1%loopback } send hello
2026-04-13 19:14:25,R-Dist-1,*6E,2026-04-13 19:14:21,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } send hello
2026-04-13 19:14:25,R-Dist-1,*6F,2026-04-13 19:14:24,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 19:14:25,R-Dist-2,*8A,2026-04-13 19:14:06,"system,info","log action changed by console:admin@ttyS0/action:2 (/system logging action set """")"
