fetched_at,source_router,log_id,time,topics,message
2026-04-13 20:20:53,R-Edge,*44D,2026-04-13 13:19:24,"system,info","log action changed by console:admin@ttyS0/action:6 (/system logging action set """")"
2026-04-13 20:20:53,R-Edge,*44E,2026-04-13 13:19:24,"system,info","log action changed by console:admin@ttyS0/action:7 (/system logging action set """")"
2026-04-13 20:20:53,R-Edge,*44F,2026-04-13 13:19:28,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:20:53,R-Edge,*450,2026-04-13 13:19:33,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:20:53,R-Edge,*451,2026-04-13 13:19:33,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:20:53,R-Edge,*452,2026-04-13 13:19:38,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:20:53,R-Edge,*453,2026-04-13 13:19:43,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:20:53,R-Edge,*454,2026-04-13 13:19:43,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:20:53,R-Edge,*455,2026-04-13 13:19:48,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:20:53,R-Edge,*456,2026-04-13 13:19:53,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:20:53,R-Edge,*457,2026-04-13 13:19:53,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:20:53,R-Edge,*458,2026-04-13 13:19:57,"route,bgp,debug,packet","Peer-ISP-1 {l_addr: 172.16.10.2, r_addr: 172.16.10.1} Sent KEEPALIVE message"
2026-04-13 20:20:53,R-Edge,*459,2026-04-13 13:19:57,"route,bgp,debug,packet","Peer-ISP-1 {l_addr: 172.16.10.2, r_addr: 172.16.10.1} Recv KEEPALIVE message"
2026-04-13 20:20:53,R-Edge,*45A,2026-04-13 13:19:58,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:20:53,R-Edge,*45B,2026-04-13 13:20:03,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:20:53,R-Edge,*45C,2026-04-13 13:20:03,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:20:53,R-Edge,*45D,2026-04-13 13:20:08,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:20:53,R-Edge,*45E,2026-04-13 13:20:13,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:20:53,R-Edge,*45F,2026-04-13 13:20:13,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:20:53,R-Edge,*460,2026-04-13 13:20:18,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:20:53,R-Edge,*461,2026-04-13 13:20:23,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:20:53,R-Edge,*462,2026-04-13 13:20:23,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
