fetched_at,source_router,log_id,time,topics,message
2026-04-13 20:03:26,R-Edge,*27E,2026-04-13 13:02:32,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:03:26,R-Edge,*27F,2026-04-13 13:02:33,"system,info","log action changed by console:admin@ttyS0/action:0 (/system logging action set """")"
2026-04-13 20:03:26,R-Edge,*280,2026-04-13 13:02:33,"system,info","log action changed by console:admin@ttyS0/action:1 (/system logging action set """")"
2026-04-13 20:03:26,R-Edge,*281,2026-04-13 13:02:33,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:03:26,R-Edge,*282,2026-04-13 13:02:37,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:03:26,R-Edge,*283,2026-04-13 13:02:42,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:03:26,R-Edge,*284,2026-04-13 13:02:43,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:03:26,R-Edge,*285,2026-04-13 13:02:47,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:03:26,R-Edge,*286,2026-04-13 13:02:52,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:03:26,R-Edge,*287,2026-04-13 13:02:53,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:03:26,R-Edge,*288,2026-04-13 13:02:57,"route,bgp,debug,packet","Peer-ISP-1 {l_addr: 172.16.10.2, r_addr: 172.16.10.1} Sent KEEPALIVE message"
2026-04-13 20:03:26,R-Edge,*289,2026-04-13 13:02:57,"route,bgp,debug,packet","Peer-ISP-1 {l_addr: 172.16.10.2, r_addr: 172.16.10.1} Recv KEEPALIVE message"
2026-04-13 20:03:26,R-Edge,*28A,2026-04-13 13:02:57,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:03:26,R-Edge,*28B,2026-04-13 13:03:02,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:03:26,R-Edge,*28C,2026-04-13 13:03:03,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:03:26,R-Edge,*28D,2026-04-13 13:03:07,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:03:26,R-Edge,*28E,2026-04-13 13:03:12,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:03:26,R-Edge,*28F,2026-04-13 13:03:13,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
