fetched_at,source_router,log_id,time,topics,message
2026-04-13 20:55:21,R-Edge,*798,2026-04-13 13:55:02,"system,info","log action changed by console:admin@ttyS0/action:12 (/system logging action set """")"
2026-04-13 20:55:21,R-Edge,*799,2026-04-13 13:55:02,"system,info","log action changed by console:admin@ttyS0/action:13 (/system logging action set """")"
2026-04-13 20:55:21,R-Edge,*79A,2026-04-13 13:55:04,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:55:21,R-Edge,*79B,2026-04-13 13:55:04,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:55:21,R-Edge,*79C,2026-04-13 13:55:10,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:55:21,R-Edge,*79D,2026-04-13 13:55:14,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:55:21,R-Edge,*79E,2026-04-13 13:55:14,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:55:21,R-Edge,*79F,2026-04-13 13:55:20,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:55:21,R-Edge,*7A0,2026-04-13 13:55:20,"system,info,account",user admin logged in from 192.168.153.152 via rest-api
2026-04-13 20:55:21,R-Edge,*7A1,2026-04-13 13:55:20,"system,info,account",user admin logged in via api
2026-04-13 20:55:22,R-Dist-1,*C31,2026-04-13 20:55:08,"system,info","log action changed by console:admin@ttyS0/action:10 (/system logging action set """")"
2026-04-13 20:55:22,R-Dist-1,*C32,2026-04-13 20:55:09,"system,info","log action changed by console:admin@ttyS0/action:11 (/system logging action set """")"
2026-04-13 20:55:22,R-Dist-1,*C33,2026-04-13 20:55:10,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } neighbor { router-id: 10.255.255.2 state: Full } hello
2026-04-13 20:55:22,R-Dist-1,*C34,2026-04-13 20:55:12,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } send hello
2026-04-13 20:55:22,R-Dist-1,*C35,2026-04-13 20:55:14,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } send hello
2026-04-13 20:55:22,R-Dist-1,*C36,2026-04-13 20:55:14,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:55:22,R-Dist-1,*C37,2026-04-13 20:55:18,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.10.1%ether4 } send hello
2026-04-13 20:55:22,R-Dist-1,*C38,2026-04-13 20:55:18,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.1%loopback } send hello
2026-04-13 20:55:22,R-Dist-1,*C39,2026-04-13 20:55:20,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } neighbor { router-id: 10.255.255.2 state: Full } hello
2026-04-13 20:55:22,R-Dist-1,*C3A,2026-04-13 20:55:21,"system,info,account",user admin logged in from 192.168.100.1 via rest-api
2026-04-13 20:55:22,R-Dist-1,*C3B,2026-04-13 20:55:21,"system,info,account",user admin logged in via api
2026-04-13 20:55:22,R-Dist-2,*120F,2026-04-13 20:55:10,"system,info","log action changed by console:admin@ttyS0/action:10 (/system logging action set """")"
2026-04-13 20:55:22,R-Dist-2,*1210,2026-04-13 20:55:10,"system,info","log action changed by console:admin@ttyS0/action:11 (/system logging action set """")"
