fetched_at,source_router,log_id,time,topics,message
2026-04-13 20:34:40,R-Edge,*57D,2026-04-13 13:34:21,"system,info","log action changed by console:admin@ttyS0/action:8 (/system logging action set """")"
2026-04-13 20:34:40,R-Edge,*57E,2026-04-13 13:34:21,"system,info","log action changed by console:admin@ttyS0/action:9 (/system logging action set """")"
2026-04-13 20:34:40,R-Edge,*57F,2026-04-13 13:34:23,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:34:40,R-Edge,*580,2026-04-13 13:34:24,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:34:40,R-Edge,*581,2026-04-13 13:34:29,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:34:40,R-Edge,*582,2026-04-13 13:34:33,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } send hello
2026-04-13 20:34:40,R-Edge,*583,2026-04-13 13:34:34,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 192.168.100.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.100.1%ether2 } neighbor { router-id: 10.255.255.12 state: Full } hello
2026-04-13 20:34:40,R-Edge,*584,2026-04-13 13:34:39,"system,info,account",user admin logged in from 192.168.153.152 via rest-api
2026-04-13 20:34:40,R-Edge,*585,2026-04-13 13:34:39,"system,info,account",user admin logged in via api
2026-04-13 20:34:40,R-Dist-1,*89E,2026-04-13 20:34:27,"system,info","log action changed by console:admin@ttyS0/action:6 (/system logging action set """")"
2026-04-13 20:34:40,R-Dist-1,*89F,2026-04-13 20:34:27,"system,info","log action changed by console:admin@ttyS0/action:7 (/system logging action set """")"
2026-04-13 20:34:40,R-Dist-1,*8A0,2026-04-13 20:34:27,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.10.1%ether4 } send hello
2026-04-13 20:34:40,R-Dist-1,*8A1,2026-04-13 20:34:27,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.1%loopback } send hello
2026-04-13 20:34:40,R-Dist-1,*8A2,2026-04-13 20:34:30,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } neighbor { router-id: 10.255.255.2 state: Full } hello
2026-04-13 20:34:40,R-Dist-1,*8A3,2026-04-13 20:34:32,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } send hello
2026-04-13 20:34:40,R-Dist-1,*8A4,2026-04-13 20:34:33,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.11.2%ether2 } neighbor { router-id: 10.255.255.11 state: Full } hello
2026-04-13 20:34:40,R-Dist-1,*8A5,2026-04-13 20:34:33,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.10.15.1%ether3 } send hello
2026-04-13 20:34:40,R-Dist-1,*8A6,2026-04-13 20:34:37,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 192.168.10.1%ether4 } send hello
2026-04-13 20:34:40,R-Dist-1,*8A7,2026-04-13 20:34:37,"route,ospf,packet",ospf-instance-1 { version: 2 router-id: 10.255.255.1 } ospf-area-1 { 0.0.0.0 } interface { broadcast 10.255.255.1%loopback } send hello
2026-04-13 20:34:40,R-Dist-1,*8A8,2026-04-13 20:34:39,"system,info,account",user admin logged in from 192.168.100.1 via rest-api
2026-04-13 20:34:40,R-Dist-1,*8A9,2026-04-13 20:34:39,"system,info,account",user admin logged in via api
2026-04-13 20:34:40,R-Dist-2,*C98,2026-04-13 20:34:28,"system,info","log action changed by console:admin@ttyS0/action:6 (/system logging action set """")"
