fetched_at,source_router,log_id,time,topics,message
2026-02-08 17:56:34,R1-Core,*2,2026-02-08 17:33:39,"route,ospf,info",instance { version: 2 router-id: 1.1.1.1 } created
2026-02-08 17:56:34,R1-Core,*3,2026-02-08 17:33:39,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area { 0.0.0.0 } created
2026-02-08 17:56:34,R1-Core,*4,2026-02-08 17:33:40,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 1.1.1.1%loopback } created
2026-02-08 17:56:34,R1-Core,*5,2026-02-08 17:33:41,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 1.1.1.1%loopback } state change to Waiting
2026-02-08 17:56:34,R1-Core,*9,2026-02-08 17:33:44,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } created
2026-02-08 17:56:34,R1-Core,*A,2026-02-08 17:33:44,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } state change to Waiting
2026-02-08 17:56:34,R1-Core,*B,2026-02-08 17:33:45,"dhcp,info",dhcp-client on ether1 got IP address 192.168.153.137
2026-02-08 17:56:34,R1-Core,*D,2026-02-08 17:33:46,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } created
2026-02-08 17:56:34,R1-Core,*E,2026-02-08 17:33:46,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } state change to Waiting
2026-02-08 17:56:34,R1-Core,*F,2026-02-08 17:33:46,"firewall,info","DDoS_DETECTED input: in:ether1 out:(unknown 0), connection-state:new src-mac 00:50:56:e6:3f:cc, proto ICMP (type 8, code 0), 192.168.153.254->192.168.153.137, len 48"
2026-02-08 17:56:34,R1-Core,*10,2026-02-08 17:33:49,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: Down } state change to Init
2026-02-08 17:56:34,R1-Core,*11,2026-02-08 17:33:50,"system,info,account",user admin logged in via local
2026-02-08 17:56:34,R1-Core,*12,2026-02-08 17:33:53,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: Down } state change to Init
2026-02-08 17:56:34,R1-Core,*13,2026-02-08 17:33:53,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: Init } state change to TwoWay
2026-02-08 17:56:34,R1-Core,*14,2026-02-08 17:33:59,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: Init } state change to TwoWay
2026-02-08 17:56:34,R1-Core,*15,2026-02-08 17:34:21,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 1.1.1.1%loopback } neighbor election
2026-02-08 17:56:34,R1-Core,*16,2026-02-08 17:34:21,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 1.1.1.1%loopback } state change to DR
2026-02-08 17:56:34,R1-Core,*17,2026-02-08 17:34:21,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 1.1.1.1%loopback } change DR: me
2026-02-08 17:56:34,R1-Core,*18,2026-02-08 17:34:24,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor election
2026-02-08 17:56:34,R1-Core,*19,2026-02-08 17:34:24,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } state change to Backup DR
2026-02-08 17:56:34,R1-Core,*1A,2026-02-08 17:34:24,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } change DR: 2.2.2.2 BDR: me
2026-02-08 17:56:34,R1-Core,*1B,2026-02-08 17:34:24,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.1%ether2 } neighbor { router-id: 2.2.2.2 state: TwoWay } state change to ExStart
2026-02-08 17:56:34,R1-Core,*1C,2026-02-08 17:34:26,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor election
2026-02-08 17:56:34,R1-Core,*1D,2026-02-08 17:34:26,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } state change to Backup DR
2026-02-08 17:56:34,R1-Core,*1E,2026-02-08 17:34:26,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } change DR: 3.3.3.3 BDR: me
2026-02-08 17:56:34,R1-Core,*1F,2026-02-08 17:34:26,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: TwoWay } state change to ExStart
2026-02-08 17:56:34,R1-Core,*20,2026-02-08 17:34:28,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: ExStart } negotiation done
2026-02-08 17:56:34,R1-Core,*21,2026-02-08 17:34:28,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: ExStart } state change to Exchange
2026-02-08 17:56:34,R1-Core,*22,2026-02-08 17:34:28,"route,ospf,info",ospf-1 { version: 2 router-id: 1.1.1.1 } area-0 { 0.0.0.0 } interface { broadcast 10.10.10.9%ether3 } neighbor { router-id: 3.3.3.3 state: Exchange } exchange lsdb size 1
