Root Cause (Gejala),Impact (Akibat),Tipe Masalah,Confidence (%),Lift Ratio,Support (%),Level Prioritas
user,"LINK_FAILURE, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"user, admin","logged, LINK_FAILURE",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
user,"logged, LINK_FAILURE, admin",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"logged, system","LINK_FAILURE, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"account, system","logged, LINK_FAILURE",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
logged,"LINK_FAILURE, account, system",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
account,"logged, LINK_FAILURE, system",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"logged, system","LINK_FAILURE, user",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"user, system","logged, LINK_FAILURE",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
logged,"LINK_FAILURE, user, system",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
user,"logged, LINK_FAILURE, system",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"logged, user","LINK_FAILURE, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"logged, account","LINK_FAILURE, user",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"user, account","logged, LINK_FAILURE",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
logged,"LINK_FAILURE, user, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
user,"logged, LINK_FAILURE, account",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
account,"LINK_FAILURE, user",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
logged,"LINK_FAILURE, user, admin",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
account,"logged, LINK_FAILURE, user",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"logged, admin","LINK_FAILURE, user",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
account,"LINK_FAILURE, user, system",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
"admin, account","LINK_FAILURE, user",LINK_FAILURE,0.4,25.64,0.0156006240249609,CRITICAL (High Correlation)
