antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['firewall', '153']",['DDOS_ATTACK'],0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['192', 'firewall']",['DDOS_ATTACK'],0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['168', 'firewall']",['DDOS_ATTACK'],0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['ether1', 'firewall']",['DDOS_ATTACK'],0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['firewall', '192', '153']",['DDOS_ATTACK'],0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['192', 'firewall']","['153', 'DDOS_ATTACK']",0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['firewall', '153']","['192', 'DDOS_ATTACK']",0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['168', 'firewall', '153']",['DDOS_ATTACK'],0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['168', 'firewall']","['153', 'DDOS_ATTACK']",0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['firewall', '153']","['168', 'DDOS_ATTACK']",0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['firewall', 'ether1', '153']",['DDOS_ATTACK'],0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['ether1', 'firewall']","['153', 'DDOS_ATTACK']",0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['firewall', '153']","['ether1', 'DDOS_ATTACK']",0.41497659906396256,0.41497659906396256,0.41497659906396256,1.0,2.4097744360902253,1.0,0.24277102129326983,inf,1.0,1.0,1.0,1.0
"['firewall', 'r1-core', '153']",['DDOS_ATTACK'],0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['firewall', '153']","['r1-core', 'DDOS_ATTACK']",0.41497659906396256,0.41497659906396256,0.41497659906396256,1.0,2.4097744360902253,1.0,0.24277102129326983,inf,1.0,1.0,1.0,1.0
"['168', '192', 'firewall']",['DDOS_ATTACK'],0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
"['168', 'firewall']","['192', 'DDOS_ATTACK']",0.41497659906396256,0.4160166406656266,0.41497659906396256,1.0,2.40375,1.0,0.24233942836652625,inf,0.9982222222222222,0.9975,1.0,0.99875
