antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['udp'],"['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', 'ethertype']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['ethertype', '5678']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['ethertype', '5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['udp', 'ethertype', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', 'looped']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['5678', 'looped']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['5678', 'looped', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['udp', 'looped', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['mac', 'udp']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['mac', '5678']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['mac', '5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['mac', 'udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', 'bridge']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['bridge', '5678']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['bridge', '5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['udp', 'bridge', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', 'warning']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['warning', '5678']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['warning', '5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['udp', 'warning', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', 'r2-dist']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['5678', 'r2-dist']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['5678', 'r2-dist', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['udp', 'r2-dist', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['interface', 'udp']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['interface', '5678']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['interface', '5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['interface', 'udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', 'udp']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', '5678']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['udp', '5678']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['udp', '5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['0x0800', '5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['0x0800', 'udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', 'ethertype']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['5678', 'ethertype']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['BROADCAST_STORM', '5678', 'ethertype']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['0x0800', 'ethertype', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', 'looped']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['5678', 'looped']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['BROADCAST_STORM', '5678', 'looped']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['0x0800', 'BROADCAST_STORM', 'looped']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['mac', '0x0800']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['mac', '5678']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['mac', '5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['mac', '0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', 'bridge']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['bridge', '5678']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['bridge', '5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['5678'],"['0x0800', 'bridge', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['0x0800', 'warning']","['5678', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['warning', '5678']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
