antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['0x0800'],"['BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['udp'],"['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['looped', '0x0800']","['BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['looped', 'udp']","['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['0x0800'],"['looped', 'BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['udp'],"['looped', 'BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['ethertype', '0x0800']","['BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['ethertype', 'udp']","['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['0x0800'],"['ethertype', 'BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['udp'],"['ethertype', 'BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['0x0800', 'warning']","['BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['udp', 'warning']","['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['0x0800'],"['BROADCAST_STORM', 'udp', 'warning']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['udp'],"['BROADCAST_STORM', '0x0800', 'warning']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['0x0800', 'mac']","['BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['udp', 'mac']","['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['0x0800'],"['BROADCAST_STORM', 'udp', 'mac']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['udp'],"['BROADCAST_STORM', '0x0800', 'mac']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['0x0800', 'bridge']","['BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['udp', 'bridge']","['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['0x0800'],"['BROADCAST_STORM', 'udp', 'bridge']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['udp'],"['BROADCAST_STORM', '0x0800', 'bridge']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['0x0800', 'r2-dist']","['BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['udp', 'r2-dist']","['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['0x0800'],"['BROADCAST_STORM', 'udp', 'r2-dist']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['udp'],"['BROADCAST_STORM', '0x0800', 'r2-dist']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['interface', '0x0800']","['BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['interface', 'udp']","['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['0x0800'],"['interface', 'BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['udp'],"['interface', 'BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['0x0800'],"['BROADCAST_STORM', '5678']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['5678'],"['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['udp'],"['BROADCAST_STORM', '5678']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['5678'],"['BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['0x0800', 'udp']","['BROADCAST_STORM', '5678']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['0x0800', '5678']","['BROADCAST_STORM', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['udp', '5678']","['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['0x0800'],"['BROADCAST_STORM', 'udp', '5678']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['udp'],"['BROADCAST_STORM', '0x0800', '5678']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
['5678'],"['BROADCAST_STORM', '0x0800', 'udp']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['looped', '0x0800']","['BROADCAST_STORM', '5678']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
"['looped', '5678']","['BROADCAST_STORM', '0x0800']",0.025666666666666667,0.025666666666666667,0.025666666666666667,1.0,38.96103896103896,1.0,0.02500788888888889,inf,0.9999999999999999,1.0,1.0,1.0
