antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['with', 'external']","['UPSTREAM_FAILURE', '3600']",0.02512,0.012,0.012,0.47770700636942676,39.80891719745223,1.0,0.01169856,1.8916585365853658,1.0,0.47770700636942676,0.47136336677067486,0.7388535031847134
"['originator', 'external']","['UPSTREAM_FAILURE', 'lsa']",0.024,0.02536,0.024,1.0,39.43217665615142,1.0,0.02339136,inf,0.9986065573770492,0.9463722397476341,1.0,0.973186119873817
"['external', 'lsa']","['UPSTREAM_FAILURE', 'originator']",0.024,0.02536,0.024,1.0,39.43217665615142,1.0,0.02339136,inf,0.9986065573770492,0.9463722397476341,1.0,0.973186119873817
"['originator', '172']","['UPSTREAM_FAILURE', 'lsa']",0.01144,0.02536,0.01144,1.0,39.43217665615142,1.0,0.0111498816,inf,0.9859189123573682,0.45110410094637227,1.0,0.7255520504731862
"['172', 'lsa']","['UPSTREAM_FAILURE', 'originator']",0.01144,0.02536,0.01144,1.0,39.43217665615142,1.0,0.0111498816,inf,0.9859189123573682,0.45110410094637227,1.0,0.7255520504731862
"['external', 'update']","['UPSTREAM_FAILURE', '3600']",0.02584,0.012,0.012,0.4643962848297214,38.69969040247678,1.0,0.01168992,1.8446473988439307,0.9999999999999999,0.4643962848297214,0.457890976548301,0.7321981424148607
"['with', 'external']","['same', 'UPSTREAM_FAILURE']",0.02512,0.01752,0.01672,0.6656050955414012,37.99115842131285,1.0,0.0162798976,2.938083047619047,0.99876711608034,0.6450617283950617,0.6596420237983484,0.8099714975423901
"['same', 'external']","['UPSTREAM_FAILURE', 'with']",0.01672,0.0264,0.01672,1.0,37.87878787878788,1.0,0.016278591999999998,inf,0.9901553982588884,0.6333333333333333,1.0,0.8166666666666667
"['external', '3600']","['UPSTREAM_FAILURE', 'with']",0.012,0.0264,0.012,1.0,37.87878787878788,1.0,0.0116832,inf,0.9854251012145748,0.4545454545454545,1.0,0.7272727272727273
"['external', 'neighbor']","['UPSTREAM_FAILURE', '3600']",0.02696,0.012,0.012,0.44510385756676557,37.0919881305638,1.0,0.01167648,1.7805133689839574,0.9999999999999999,0.44510385756676557,0.4383642283064429,0.7225519287833828
"['external', 'broadcast']","['UPSTREAM_FAILURE', '3600']",0.02696,0.012,0.012,0.44510385756676557,37.0919881305638,1.0,0.01167648,1.7805133689839574,0.9999999999999999,0.44510385756676557,0.4383642283064429,0.7225519287833828
"['interface', 'external']","['UPSTREAM_FAILURE', '3600']",0.02696,0.012,0.012,0.44510385756676557,37.0919881305638,1.0,0.01167648,1.7805133689839574,0.9999999999999999,0.44510385756676557,0.4383642283064429,0.7225519287833828
"['ospf-area-1', 'external']","['UPSTREAM_FAILURE', '3600']",0.02696,0.012,0.012,0.44510385756676557,37.0919881305638,1.0,0.01167648,1.7805133689839574,0.9999999999999999,0.44510385756676557,0.4383642283064429,0.7225519287833828
"['external', 'update']","['same', 'UPSTREAM_FAILURE']",0.02584,0.01752,0.01672,0.6470588235294118,36.932581251678755,1.0,0.0162672832,2.783693333333334,0.9987308413029035,0.6276276276276277,0.640765026798929,0.8006983615363954
"['172', 'update']","['UPSTREAM_FAILURE', 'with']",0.01224,0.0264,0.01192,0.9738562091503269,36.888492770845716,1.0,0.011596864,37.24020000000014,0.9849470267755177,0.4461077844311377,0.973147297812579,0.7126856803327393
"['external', 'update']","['UPSTREAM_FAILURE', 'with']",0.02584,0.0264,0.02512,0.9721362229102167,36.82334177690215,1.0,0.024437824,34.941422222222236,0.9986483864066589,0.9262536873156344,0.9713806726686696,0.9618256872126841
